job_id,session_id,signal_scope,current_step,current_episode,current_vehicles,best_reward,latest_reward,average_wait_time,congestion_score,stopped_vehicles,checkpoint_path,model_output_dir,created_at_utc
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,310,0,60,1582.55078607504,1288.489461411119,0.65,0.652,45,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:43:04.561729+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,320,0,60,1582.55078607504,1288.807511737296,0.6,0.603,41,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:43:20.614185+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,330,0,60,1582.55078607504,1319.193444527822,0.54,0.544,37,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:43:44.895205+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,340,0,60,1582.55078607504,1355.1090330634452,0.51,0.514,36,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:44:00.849734+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,350,0,60,1582.55078607504,1349.449690626847,0.51,0.515,35,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:44:25.508997+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,360,0,60,1582.55078607504,1263.9722127060827,0.64,0.64,48,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:44:41.428094+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,370,0,60,1582.55078607504,1334.2065590907441,0.48,0.479,34,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:45:05.118859+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,380,0,60,1582.55078607504,1275.974972923894,0.66,0.662,51,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:45:20.897444+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,390,0,60,1582.55078607504,1266.7593667613573,0.62,0.623,48,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:45:46.080002+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,400,0,60,1582.55078607504,1279.3307852151484,0.63,0.634,45,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:46:02.153018+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,410,0,60,1582.55078607504,1425.830132741159,0.32,0.324,24,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:46:27.268198+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,420,0,60,1582.55078607504,1360.307753734182,0.43,0.427,32,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:46:43.144639+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,430,0,60,1582.55078607504,1219.447311401771,0.72,0.711,54,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:47:07.381982+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,440,0,60,1582.55078607504,1328.3993105939478,0.48,0.467,35,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:47:23.286252+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,450,0,60,1582.55078607504,1292.7954710095983,0.59,0.592,45,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:47:49.558272+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,460,0,60,1582.55078607504,1337.342176124911,0.55,0.548,40,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:48:06.473869+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,470,0,60,1582.55078607504,1296.2266040088816,0.62,0.618,47,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:48:32.577506+00:00
training:a6b0c2e57ec441ab9999a3fefb776b11,session:5405cb0d82b543368db587f5ef226833,all_intersections,480,0,60,1582.55078607504,1275.66958756773,0.58,0.575,42,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11/checkpoints/best_model.json,/Users/andrey/Documents/projects/UrbanFlow-AI/data/models/tls_all_intersections/runs/training_a6b0c2e57ec441ab9999a3fefb776b11,2026-06-27T19:48:49.103240+00:00
